;title;author;pub_house;price;link
0;Яма;Акунин Борис;АСТ;1117;/books/944277/
1;Евгений Онегин с комментариями Ю. М. Лотмана. В 2-х книгах;Пушкин, Лотман;Иллюминатор;1978;/books/924645/
2;Туманы Авалона. Том 1;Брэдли Мэрион Зиммер;Эксмо;2118;/books/900879/
3;Королевская кровь-10. Стальные небеса;Котова Ирина Владимировна;Т8;2334;/books/940425/
4;Словно мы злодеи;Рио М. Л.;Дом историй;1175;/books/935886/
5;Спартак;Джованьоли Рафаэлло;Речь;1590;/books/717084/
6;Блистательные годы. Гран-Канария;Кронин Арчибалд Джозеф;Иностранка;855;/books/948268/
7;Пятнадцатилетний капитан;Верн Жюль;Альфа-книга;134;/books/391041/
8;Шестерка воронов;Бардуго Ли;АСТ;1227;/books/927035/
9;Дон Кихот. В 2-х книгах;Сервантес Мигель де Сааведра;Речь;4730;/books/614556/
10;Двериндариум. Живое;Суржевская Марина;Манн, Иванов и Фербер;715;/books/940186/
11;Мифы Поволжья. От Волчьего владыки и Мирового древа до культа змей и птицы счастья;Муравьева Татьяна Владимировна;Манн, Иванов и Фербер;899;/books/921953/
12;Лисьи броды;Старобинец Анна Альфредовна;Рипол-Классик;1097;/books/851615/
13;Архивы Дрездена. История призрака. Холодные дни;Батчер Джим;Азбука;1057;/books/944938/
14;Карело-финские мифы. От Калевалы и птицы-демиурга до чуди и саамов;Петрухин Владимир Яковлевич;Манн, Иванов и Фербер;899;/books/930327/
15;Испытание;Вульф Трейси;Like Book;807;/books/938051/
16;Восхождение фениксов;Тянься Гуйюань;Freedom;959;/books/944303/
17;Благословение небожителей. Том 3;Тунсю Мосян;Комильфо;1381;/books/895876/
18;Земля Санникова. В 2-х томах;Обручев Владимир Афанасьевич;Лабиринт;6406;/books/795058/
19;Подвиги бригадира Жерара. Приключения бригадира Жерара;Дойл Артур Конан;Альфа-книга;74;/books/285728/
20;Бронепароходы;Иванов Алексей Викторович;Рипол-Классик;1300;/books/921433/
21;Присягнувшая Черепу;Стейвли Брайан;Азбука;880;/books/948267/
22;Война и мир. В 4-х томах.;Толстой Лев Николаевич;Речь;6253;/books/604732/
23;Исповедь демонолога;Сакрытина Мария Николаевна;Freedom;607;/books/940110/
24;Баллада о змеях и певчих птицах;Коллинз Сьюзен;АСТ;577;/books/757906/
25;Ведьмы Тихого ручья. Колдовской сезон;Дейд Айла;Freedom;667;/books/940139/
26;Ковен озера Шамплейн. Трилогия;Гор Анастасия;Эксмо;2408;/books/900778/
27;Мара и Морок. Подарочный комплект (футляр);Арден Лия;Эксмо;4292;/books/830144/
28;Крутой маршрут. Хроника времен культа личности;Гинзбург Евгения Соломоновна;Азбука;843;/books/941874/
29;Мертвый кролик, живой кролик;Михалкова Елена Ивановна;АСТ;604;/books/946581/
30;Канцтовары Цубаки;Огава Ито;Поляндрия  No Age;838;/books/943722/
31;Венская рапсодия;Дростен Юлия;Аркадия;528;/books/869221/
32;Правила выживания в Джакарте. Подарочное издание;Цимеринг, Багрий;Манн, Иванов и Фербер;1372;/books/934349/
33;Благословение небожителей. Том 2;Тунсю Мосян;Комильфо;1381;/books/852780/
34;Семь престолов;Струкул Маттео;Аркадия;295;/books/785222/
35;Времеубежище;Господинов Георги;Поляндрия  No Age;838;/books/941265/
36;Дом Кёко;Мисима Юкио;Иностранка;855;/books/948324/
37;Свет в окошке. Земные пути. Колодезь;Логинов Святослав Владимирович;Азбука;1057;/books/949456/
38;Разреженный воздух;Морган Ричард;АСТ;1194;/books/948775/
39;Петр Первый. В 2-х томах;Толстой Алексей Николаевич;Речь;2562;/books/624022/
40;Просто Маса;Акунин Борис;АСТ;1135;/books/752339/
41;Благословение небожителей. Том 1;Тунсю Мосян;Комильфо;1265;/books/835686/
42;Джек из Тени. Полное издание;Желязны Роджер;Эксмо;1911;/books/932882/
43;Первый урок Шоломанчи;Новик Наоми;Эксмо;738;/books/927157/
44;Трое из академии. Трое в долине;Лисина Александра;АСТ;513;/books/948206/
45;Исповедь моего сердца;Оутс Джойс Кэрол;Текст;266;/books/746139/
46;Тринадцать;Кавана Стив;Inspiria;583;/books/934637/
47;Легенды и мифы Древней Греции;Кун Николай Альбертович;Иллюминатор;1776;/books/877234/
48;ПоэZия русского лета;Артис, Ватутина, Бергин;Эксмо;1590;/books/943011/
49;Преступление и наказание;Достоевский Федор Михайлович;Манн, Иванов и Фербер;485;/books/936739/
50;Сказка сказок;Базиле Джамбаттиста;Иностранка;843;/books/942792/
51;Хозяйка Шварцвальда;Харт Уна;Inspiria;692;/books/942467/
52;Убийца в толпе. Шиллинг на свечи. Дело о похищении Бетти Кейн;Тэй Джозефина;Иностранка;875;/books/943925/
53;Капитан Арена;Дюма Александр;Вече;543;/books/949356/
54;Дом листьев;Данилевский Марк Z.;Гонзо;972;/books/830799/
55;Джевдет-бей и сыновья;Памук Орхан;Иностранка;911;/books/941875/
56;Пока бьётся сердце;Хартманн Дженнифер;Freedom;759;/books/945597/
57;Луна над Сохо;Ааронович Бен;fanzon;711;/books/944343/
58;Искра богов. Не люби меня;Вульф Мара;Freedom;552;/books/925663/
59;Сын Зевса. В глуби веков. Герой Саламина;Воронкова Любовь Федоровна;Азбука;1057;/books/948194/
60;Университет Специальных Чар. Пощады, маэстрина!;Завойчинская Милена Валерьевна;Эксмо;545;/books/936521/
61;До февраля;Идиатуллин Шамиль Шаукатович;Редакция Елены Шубиной;902;/books/940800/
62;Восстание Персеполиса. Гнев Тиамат. Оберон;Кори Джеймс;Фантастика;1391;/books/944194/
63;Профайлер;Ми Лэй;Inspiria;662;/books/935861/
64;Евгений Онегин;Пушкин Александр Сергеевич;Манн, Иванов и Фербер;485;/books/930332/
65;Проклятие теней и шипов;Эндрюс Л. Дж.;Freedom;554;/books/940158/
66;Двериндариум. Мертвое;Суржевская Марина;Манн, Иванов и Фербер;651;/books/930322/
67;Анна Каренина. В 2-х томах;Толстой Лев Николаевич;Время;295;/books/575010/
68;Царство Страха;Манискалко Керри;АСТ;941;/books/945076/
69;Принц Ардена;Анри Софи;Freedom;607;/books/934417/
70;Базар гоблинов и другие стихи;Россетти Кристина Джорджина;Октопус;509;/books/717987/
71;Звёздные войны. Расцвет Республики. Тропа обмана;Айрлэнд, Греттон;fanzon;650;/books/945883/
72;Мастер и Маргарита;Булгаков Михаил Афанасьевич;Верже;4838;/books/606810/
73;Прыжок;Лукьяненко Сергей Васильевич;АСТ;860;/books/935626/
74;Мойры сплели свои нити;Степанова Татьяна Юрьевна;Эксмо;545;/books/945888/
75;Год порно;Мамаев-Найлз Илья;Поляндрия  No Age;662;/books/939632/
76;Эсав;Шалев Меир;Текст;266;/books/773038/
77;Гибельное влияние;Омер Майк;Inspiria;690;/books/927427/
78;Гипотеза любви;Хейзелвуд Али;Манн, Иванов и Фербер;692;/books/842232/
79;Выстрел мимо цели;Осман Ричард Томас;Манн, Иванов и Фербер;692;/books/921398/
80;Тихий Дон. В 4-х книгах;Шолохов Михаил Александрович;Речь;4651;/books/616505/
81;Вторая жизнь Уве;Бакман Фредрик;Синдбад;632;/books/835733/
82;Алая аура протопарторга. Абсолютно правдивые истории о кудесниках, магах и нечисти;Лукин Евгений Юрьевич;Азбука;1057;/books/948196/
83;Трущобные люди. Мои скитания. Люди театра. Москва газетная. Москва и москвичи. Друзья и встречи;Гиляровский Владимир Алексеевич;Альфа-книга;1459;/books/907734/
84;Коко;Страуб Питер;АСТ;1356;/books/949277/
85;Обитель;Прилепин Захар;Редакция Елены Шубиной;1304;/books/434874/
86;Реки Лондона;Ааронович Бен;fanzon;650;/books/932879/
87;Берега. Роман о семействе Дюморье;Дюморье Дафна;Азбука;641;/books/945132/
