;title;author;pub_house;price;link
0;Благословение небожителей. Том 4;Тунсю Мосян;Комильфо;1381;/books/943759/
1;Яма;Акунин Борис;АСТ;986;/books/944277/
2;Земля Санникова. В 2-х томах;Обручев Владимир Афанасьевич;Лабиринт;5421;/books/795058/
3;Евгений Онегин с комментариями Ю. М. Лотмана. В 2-х книгах;Пушкин, Лотман;Иллюминатор;1813;/books/924645/
4;Троецарствие;Ло Гуань-чжун;Иностранка;1215;/books/959606/
5;Гордость и предубеждение;Остен Джейн;Качели;1186;/books/852771/
6;Оружейный остров;Гош Амитав;Фантом Пресс;721;/books/956570/
7;Малазанская книга павших. Книга 3. Память льда;Эриксон Стивен;Азбука;1215;/books/959332/
8;Ересь Хоруса. Книга I. Возвышение Хоруса. Лживые боги. Галактика в огне;Абнетт, Макнилл, Каунтер;Фантастика;2010;/books/652646/
9;Колесо Времени. Книга 10. Перекрестки сумерек;Джордан Роберт;Азбука;1057;/books/952513/
10;Достойный жених. Книга 1;Сет Викрам;Иностранка;1057;/books/952150/
11;Правила выживания в Джакарте. Подарочное издание;Цимеринг, Багрий;Манн, Иванов и Фербер;1372;/books/934349/
12;Лисьи броды;Старобинец Анна Альфредовна;Рипол-Классик;1097;/books/851615/
13;Жестокий век;Калашников Исай Калистратович;Азбука;963;/books/956602/
14;Корриколо;Дюма Александр;Вече;494;/books/956782/
15;Борнвилл;Коу Джонатан;Фантом Пресс;746;/books/951355/
16;Уничтожить;Уэльбек Мишель;Corpus;1352;/books/952605/
17;Бронепароходы;Иванов Алексей Викторович;Рипол-Классик;1300;/books/921433/
18;Легенды и мифы Древней Греции;Кун Николай Альбертович;Иллюминатор;1924;/books/877234/
19;Последний день лета;Подшибякин Андрей Михайлович;Редакция Елены Шубиной;902;/books/947231/
20;Война и мир. Комлект из 2-х книг;Толстой Лев Николаевич;Азбука;1045;/books/914171/
21;Шестерка воронов;Бардуго Ли;АСТ;1083;/books/927035/
22;Русь изначальная;Иванов Валентин Дмитриевич;Азбука;660;/books/958003/
23;Дом Кёко;Мисима Юкио;Иностранка;586;/books/948324/
24;Исчезновение. Дочь времени. Поющие пески;Тэй Джозефина;Иностранка;586;/books/955906/
25;Злодейский путь!.. Том 1 и 2;Моргот Эл;Манн, Иванов и Фербер;1153;/books/917405/
26;Зимний сад;Ханна Кристин;Фантом Пресс;733;/books/935674/
27;Крутой маршрут. Хроника времен культа личности;Гинзбург Евгения Соломоновна;Азбука;578;/books/941874/
28;Удушающая сладость, заиндевелый пепел. Книга 1;Дянь Сянь;АСТ;757;/books/957549/
29;Путешествие к себе. Большая Панда и Маленький Дракон. Медитативная история;Норбури Джеймс;Манн, Иванов и Фербер;1088;/books/859383/
30;Петр Первый. В 2-х томах;Толстой Алексей Николаевич;Речь;2562;/books/624022/
31;Карело-финские мифы. От Калевалы и птицы-демиурга до чуди и саамов;Петрухин Владимир Яковлевич;Манн, Иванов и Фербер;899;/books/930327/
32;Москит. Конфронтация;Корнев Павел Николаевич;Альфа-книга;624;/books/946837/
33;Спартак;Джованьоли Рафаэлло;Речь;1590;/books/717084/
34;Царство Страха;Манискалко Керри;АСТ;941;/books/945076/
